400.00	-0.00	-0.00	2.24	0.43	0.02	-0.02	0.00	0.01	0.00	400.00	-0.00	-0.00	2.24	0.43	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	0.00	0.00	0.00	-0.34	0.57	0.34	0.57	0.90	
400.00	-0.00	-0.00	2.21	0.40	0.02	-0.02	0.01	0.01	0.00	400.00	-0.00	-0.00	2.21	0.40	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	0.01	0.01	0.01	-0.36	0.54	0.36	0.54	0.89	
400.00	-0.00	-0.00	2.18	0.42	0.02	-0.02	0.01	0.01	0.00	400.00	-0.00	-0.00	2.18	0.42	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	0.01	0.01	0.01	-0.37	0.51	0.37	0.51	0.88	
400.00	-0.00	-0.00	2.13	0.39	0.02	-0.02	0.01	0.01	0.00	400.00	-0.00	-0.00	2.13	0.39	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	0.01	0.01	0.01	-0.39	0.49	0.39	0.49	0.87	
400.00	-0.00	-0.00	2.07	0.40	0.02	-0.02	0.01	0.01	0.00	400.00	-0.00	-0.00	2.07	0.40	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	0.02	0.02	0.02	-0.41	0.46	0.41	0.46	0.86	
400.00	-0.00	-0.00	2.00	0.37	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	2.00	0.37	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.02	0.02	0.02	-0.43	0.43	0.43	0.43	0.85	
400.00	-0.00	-0.00	1.92	0.37	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	1.92	0.37	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.02	0.02	0.02	-0.44	0.40	0.44	0.40	0.83	
400.00	-0.00	-0.00	1.82	0.34	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	1.82	0.34	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.02	0.02	0.02	-0.46	0.38	0.46	0.38	0.82	
400.00	-0.00	-0.00	1.72	0.34	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	1.72	0.34	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.03	0.03	0.03	-0.47	0.35	0.47	0.35	0.81	
400.00	-0.00	-0.00	1.61	0.30	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	1.61	0.30	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.03	0.03	0.03	-0.48	0.33	0.48	0.33	0.80	
400.00	-0.00	-0.00	1.49	0.30	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	1.49	0.30	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.03	0.03	0.03	-0.49	0.31	0.49	0.31	0.79	
400.00	-0.00	-0.00	1.36	0.25	0.02	-0.02	0.01	0.01	0.01	400.00	-0.00	-0.00	1.36	0.25	0.02	0.00	0.02	-0.02	0.01	-0.00	0.00	0.03	0.03	0.03	-0.50	0.28	0.50	0.28	0.78	
400.00	-0.00	-0.00	1.22	0.25	0.01	-0.01	0.01	0.01	0.01	400.00	-0.00	-0.00	1.22	0.25	0.01	0.00	0.01	-0.01	0.01	-0.00	0.00	0.03	0.03	0.03	-0.51	0.26	0.51	0.26	0.76	
400.00	199.91	199.91	200.67	21.21	1.25	-1.25	0.01	0.01	0.01	381.81	181.73	199.91	200.67	21.21	1.25	0.00	1.25	-1.25	0.01	-181.92	181.92	0.18	0.18	0.18	-1.75	-0.99	1.75	-0.99	0.75	
400.00	381.50	381.50	380.63	58.48	3.44	-3.44	0.01	0.00	0.01	381.78	363.34	381.50	380.63	58.48	3.44	0.00	3.44	-3.44	0.01	-182.21	182.21	0.60	0.60	0.60	-5.18	-4.43	5.18	-4.43	0.74	
400.00	472.15	472.15	467.65	140.18	8.24	-8.24	0.02	0.00	0.01	389.99	462.25	472.15	467.65	140.18	8.24	0.00	8.24	-8.24	0.01	-100.06	100.06	1.14	1.14	1.14	-13.40	-4.80	13.40	-4.80	8.58	
400.00	480.25	480.25	469.93	177.66	10.44	-10.44	0.03	0.01	0.01	398.20	478.61	480.25	469.93	177.66	10.44	0.00	10.44	-10.44	0.01	-18.02	18.02	1.65	1.65	1.65	-23.81	-2.20	23.81	-2.20	21.59	
400.00	447.15	447.15	428.98	165.93	9.76	-9.76	0.04	0.01	0.01	402.65	450.01	447.15	428.98	165.93	9.76	0.00	9.76	-9.76	0.01	26.48	-26.48	2.12	2.12	2.12	-33.53	0.69	33.53	0.69	34.19	
400.00	410.37	410.37	382.49	131.80	7.75	-7.75	0.05	0.02	0.01	403.35	413.97	410.37	382.49	131.80	7.75	0.00	7.75	-7.75	0.01	33.49	-33.49	2.54	2.54	2.54	-41.22	2.01	41.22	2.01	43.19	
400.00	388.62	388.62	349.29	103.17	6.07	-6.07	0.06	0.02	0.02	402.01	390.92	388.62	349.29	103.17	6.07	0.00	6.07	-6.07	0.02	20.09	-20.09	2.95	2.95	2.95	-47.22	1.68	47.22	1.68	48.86	
400.00	383.57	383.57	331.09	91.43	5.37	-5.37	0.07	0.03	0.02	400.33	384.24	383.57	331.09	91.43	5.37	0.00	5.37	-5.37	0.02	3.32	-3.32	3.36	3.36	3.36	-52.52	0.69	52.52	0.69	53.16	
400.00	388.40	388.40	321.12	92.26	5.42	-5.42	0.08	0.03	0.03	399.25	388.02	388.40	321.12	92.26	5.42	0.00	5.42	-5.42	0.03	-7.53	7.53	3.75	3.75	3.75	-57.85	-0.05	57.85	-0.05	57.74	
400.00	395.52	395.52	311.86	96.10	5.65	-5.65	0.10	0.04	0.04	398.91	394.84	395.52	311.86	96.10	5.65	0.00	5.65	-5.65	0.04	-10.93	10.93	4.11	4.11	4.11	-63.40	-0.23	63.40	-0.23	63.10	
400.00	400.43	400.43	298.91	96.31	5.66	-5.66	0.11	0.04	0.04	399.04	399.92	400.43	298.91	96.31	5.66	0.00	5.66	-5.66	0.04	-9.55	9.55	4.46	4.46	4.46	-68.95	-0.02	68.95	-0.02	68.85	
400.00	402.11	402.11	281.31	91.71	5.39	-5.39	0.12	0.05	0.05	399.32	401.91	402.11	281.31	91.71	5.39	0.00	5.39	-5.39	0.05	-6.78	6.78	4.79	4.79	4.79	-74.22	0.27	74.22	0.27	74.39	
400.00	401.55	401.55	260.17	84.18	4.95	-4.95	0.13	0.06	0.06	399.52	401.58	401.55	260.17	84.18	4.95	0.00	4.95	-4.95	0.06	-4.76	4.76	5.09	5.09	5.09	-79.04	0.44	79.04	0.44	79.35	
